date,MedianListingPricePerSqft_AllHomes,MedianRentalPricePerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,state_id
2011-03-31,89.07154771599079,0.639204545454545,69.8,23.81,0
2011-04-30,89.1421356421356,0.645994832041344,70.12,23.44,0
2011-05-31,88.9737748500223,0.656613034661815,70.49,23.12,0
2011-06-30,88.97260273972601,0.6638714185884,69.37,23.65,0
2011-07-31,88.79255656587021,0.649819494584838,68.94,23.92,0
2011-08-31,88.52833881071649,0.6454733342234179,65.51,26.87,0
2011-09-30,88.1226053639847,0.6436448335110799,64.12,28.14,0
2011-10-31,87.01492537313429,0.6539579606440071,62.52,29.59,0
2011-11-30,85.707479752263,0.652938221998995,61.49,30.48,0
2011-12-31,85.682293629853,0.651105651105651,60.67,31.13,0
2012-01-31,84.86694725758029,0.6514015001973941,58.13,33.4,0
2012-02-29,85.1614036220943,0.6602112676056341,56.12,35.13,0
2012-03-31,85.5654761904762,0.6642371769340351,53.34,37.85,0
2012-04-30,83.9123794652641,0.6297388374052231,51.09,39.65,0
2012-05-31,82.7814569536424,0.631129389433724,48.82,41.47,0
2012-06-30,84.1326530612245,0.633333333333333,47.76,42.69,0
2012-07-31,85.14610389610391,0.6354436689930211,46.83,43.51,0
2012-08-31,84.6913980173742,0.6332678373518571,46.58,43.65,0
2012-09-30,84.0694006309148,0.626978026380362,45.79,44.34,0
2012-10-31,84.934842109662,0.627537836840162,45.17,45.06,0
2012-11-30,87.5,0.638949539058709,42.09,48.15,0
2012-12-31,87.210401891253,0.627615062761506,41.35,49.13,0
2013-01-31,86.75199274720941,0.631313131313131,41.08,49.54,0
2013-02-28,87.0930232558139,0.636413945766464,40.98,49.66,0
2013-03-31,88.091922005571,0.641143911439114,40.98,49.65,0
2013-04-30,88.88888888888891,0.6458022851465469,40.43,50.18,0
2013-05-31,89.19412264049869,0.640087783467447,40.52,50.14,0
2013-06-30,88.8496870206856,0.636574074074074,39.61,51.23,0
2013-07-31,89.0946502057613,0.6411483488436021,38.03,52.94,0
2013-08-31,88.82336258482191,0.64508064516129,36.95,54.14,0
2013-09-30,88.42307692307692,0.6462847116264879,35.55,55.87,0
2013-10-31,88.3494339680922,0.643820001554391,34.22,57.58,0
2013-11-30,87.3925501432665,0.6330749354005171,34.76,57.44,0
2013-12-31,87.29838709677419,0.637429077584885,35.14,57.39,0
2014-01-31,87.3272428587608,0.632911392405063,35.28,57.44,0
2014-02-28,88.2695109924205,0.625,34.81,58.08,0
2014-03-31,89.03743315508021,0.626920231464465,34.05,58.57,0
2014-04-30,89.77876106194691,0.62798140437892,37.11,55.64,0
