state_abr,crime_rate_per_100000,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,INDEX,MODINDX,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,FIPS_ST,FIPS_CTY,year
 NH,160.15512436,132071.8,118889.7,21.3,15.3,99.97029,230.4,2823.2,1.5,42.1,45.8,141.0,492.6,2237.9,92.7,30.7,132345.9,33,10.0,2016
 NJ,270.73771662047625,422123.3333333333,422097.38095238095,28.80952380952381,27.333333333333332,99.67130476190476,1222.7619047619048,8618.142857142857,18.476190476190474,49.23809523809524,541.3333333333334,613.7619047619048,2015.7619047619048,5819.238095238095,783.047619047619,39.42857142857143,423778.04761904763,34,21.0,2016
 NM,427.22242584687496,58487.5,56962.4375,3.21875,3.0,94.0372875,325.84375,2094.90625,3.34375,25.15625,54.09375,243.0625,596.5,1343.9375,154.375,10.875,58494.59375,35,30.6875,2016
 NV,434.9563523741176,162290.0588235294,162290.0588235294,2.176470588235294,2.0588235294117645,100.0,978.2352941176471,4542.823529411765,6.882352941176471,54.35294117647059,289.0,628.0,1295.4117647058824,2659.705882352941,587.7058823529412,23.88235294117647,164125.64705882352,32,45.529411764705884,2016
 NY,212.16515759741932,315665.4032258064,314098.1451612903,14.709677419354838,9.193548387096774,98.87737096774194,1280.258064516129,6017.435483870968,11.0,45.596774193548384,461.0483870967742,762.5806451612904,1033.3225806451612,4707.274193548387,276.741935483871,24.903225806451612,316953.6612903226,36,62.0,2016
 OH,138.13698686340902,131184.375,124858.29545454546,9.261363636363637,8.068181818181818,94.68006590909089,383.82954545454544,3900.7386363636365,5.431818181818182,41.79545454545455,170.9318181818182,165.5909090909091,1145.9431818181818,2536.931818181818,217.72727272727272,40.64772727272727,131486.45454545456,39,88.0,2016
 OK,253.93899193428575,49543.11688311688,49532.36363636364,4.1688311688311686,4.48051948051948,99.58354285714286,232.54545454545453,1676.6103896103896,2.8051948051948052,20.948051948051948,41.66233766233766,167.14285714285714,464.4805194805195,1061.974025974026,150.1818181818182,11.662337662337663,50007.37662337662,40,77.0,2016
 OR,166.66516677891667,108315.36111111111,107238.91666666667,6.666666666666667,4.666666666666667,96.90359722222223,263.5,3457.6388888888887,2.4444444444444446,31.63888888888889,67.27777777777777,162.08333333333334,601.4722222222222,2575.0,281.1666666666667,27.083333333333332,109168.47222222222,41,36.0,2016
 PA,222.1417895414926,190500.53731343284,190355.1194029851,21.970149253731343,21.417910447761194,99.84159552238805,677.179104477612,4125.432835820896,10.552238805970148,50.28358208955224,234.82089552238807,381.5074626865672,851.0,3048.9850746268658,225.44776119402985,25.80597014925373,190653.74626865672,42,67.0,2016
 RI,157.577721514,210058.4,210058.4,11.6,9.2,99.93845999999999,531.2,5407.0,7.0,58.4,143.0,323.0,1185.8,3695.0,525.8,36.4,210302.2,44,5.0,2016
 SC,581.1373843760871,102689.63043478261,102485.26086956522,10.869565217391305,9.326086956521738,99.90467826086957,572.7608695652174,3919.9565217391305,7.239130434782608,37.15217391304348,97.58695652173913,430.7608695652174,979.2173913043479,2648.6739130434785,292.1304347826087,17.630434782608695,103800.84782608696,45,46.0,2016
