,Code,Name
886,39007,Ashtabula County
887,39009,Athens County
888,39011,Auglaize County
889,39013,Belmont County
890,39015,Brown County
891,39017,Butler County
892,39019,Carroll County
893,39021,Champaign County
894,39023,Clark County
895,39025,Clermont County
896,39027,Clinton County
897,39029,Columbiana County
898,39031,Coshocton County
899,39033,Crawford County
900,39035,Cuyahoga County
901,39037,Darke County
902,39039,Defiance County
903,39041,Delaware County
904,39043,Erie County
905,39045,Fairfield County
906,39047,Fayette County
907,39049,Franklin County
908,39051,Fulton County
909,39053,Gallia County
910,39055,Geauga County
911,39057,Greene County
912,39059,Guernsey County
913,39061,Hamilton County
914,39063,Hancock County
915,39065,Hardin County
916,39067,Harrison County
917,39069,Henry County
918,39071,Highland County
919,39073,Hocking County
920,39075,Holmes County
921,39077,Huron County
922,39079,Jackson County
923,39081,Jefferson County
924,39083,Knox County
925,39085,Lake County
926,39087,Lawrence County
927,39089,Licking County
928,39091,Logan County
929,39093,Lorain County
930,39095,Lucas County
931,39097,Madison County
932,39099,Mahoning County
933,39101,Marion County
934,39103,Medina County
935,39105,Meigs County
936,39107,Mercer County
937,39109,Miami County
938,39111,Monroe County
939,39113,Montgomery County
940,39115,Morgan County
941,39117,Morrow County
942,39119,Muskingum County
943,39121,Noble County
944,39123,Ottawa County
945,39125,Paulding County
946,39127,Perry County
947,39129,Pickaway County
948,39131,Pike County
949,39133,Portage County
950,39135,Preble County
951,39137,Putnam County
952,39139,Richland County
953,39141,Ross County
954,39143,Sandusky County
955,39145,Scioto County
956,39147,Seneca County
957,39149,Shelby County
958,39151,Stark County
959,39153,Summit County
960,39155,Trumbull County
961,39157,Tuscarawas County
962,39159,Union County
963,39161,Van Wert County
964,39163,Vinton County
965,39165,Warren County
966,39167,Washington County
967,39169,Wayne County
968,39171,Williams County
969,39173,Wood County
970,39175,Wyandot County
971,17001,Adams County
972,17003,Alexander County
973,17005,Bond County
974,17007,Boone County
975,17009,Brown County
976,17011,Bureau County
977,17013,Calhoun County
978,17015,Carroll County
979,17017,Cass County
980,17019,Champaign County
981,17021,Christian County
